H,R^2,RMSE,MAE,Bias
1,0.5745600461959839,84.48409613649187,60.62055587768555,-21.618694305419922
2,0.571326732635498,84.76128589124578,60.42236328125,-28.06505584716797
3,0.5650449991226196,87.54222753370227,62.24409484863281,-31.647663116455078
4,0.5536311864852905,90.43260288227084,64.89128112792969,-33.18638229370117
5,0.5540308952331543,90.14686097124375,64.78765869140625,-24.931852340698242
6,0.5517640709877014,90.47681041380852,65.6695785522461,-25.54850196838379
7,0.5326353311538696,91.9903559398348,67.43297576904297,-25.393648147583008
8,0.4979485273361206,94.11227399859968,68.34601593017578,-30.568593978881836
9,0.4604201912879944,97.04136923884576,71.28401947021484,-36.03955078125
10,0.5092687606811523,92.68881173212061,67.51995086669922,-33.80168914794922
11,0.5310389399528503,90.79327050365572,66.18106079101562,-26.82845115661621
12,0.5057989358901978,93.13068879436305,67.53117370605469,-29.328454971313477
