time,latitude,longitude,mean_precipitation,max_precipitation,min_precipitation
2024-01-01,4.5249977,-74.775,0.7901551,7.5888963,0.0
2024-01-01,4.5249977,-74.725006,0.74149287,6.629464,0.0
2024-01-01,4.5249977,-74.675,0.7843592,8.205424,0.0
2024-01-01,4.5249977,-74.62501,0.7085249,8.275364,0.0
2024-01-01,4.5249977,-74.575005,0.70304453,8.407607,0.0
2024-01-01,4.5249977,-74.525,0.7564202,7.157168,0.0
2024-01-01,4.5249977,-74.475006,0.8062428,7.8684354,0.0
2024-01-01,4.5249977,-74.425,0.8158623,8.21246,0.0
2024-01-01,4.5249977,-74.37501,0.791753,8.044331,0.0
2024-01-01,4.5249977,-74.325005,0.79331124,7.569526,0.0
2024-01-01,4.5249977,-74.275,0.72199607,8.871526,0.0
2024-01-01,4.5249977,-74.225006,0.6563627,8.082087,0.0
2024-01-01,4.5249977,-74.175,0.493877,5.945947,0.0
2024-01-01,4.5249977,-74.12501,0.41570964,5.04565,0.0
2024-01-01,4.5249977,-74.075005,0.37353906,6.354036,0.0
2024-01-01,4.5249977,-74.025,0.32234722,5.5169415,0.0
2024-01-01,4.5249977,-73.975006,0.373962,6.7026424,0.0
2024-01-01,4.5249977,-73.925,0.36437392,6.58978,0.0
2024-01-01,4.5249977,-73.87501,0.37181306,6.764424,0.0
2024-01-01,4.5249977,-73.825005,0.30340195,5.462609,0.0
2024-01-01,4.5249977,-73.775,0.28211242,5.030433,0.0
2024-01-01,4.5249977,-73.725006,0.29617578,5.3527465,0.0
2024-01-01,4.5249977,-73.675,0.52387375,6.2782955,0.0
2024-01-01,4.5249977,-73.62501,0.58115715,6.3584356,0.0
2024-01-01,4.5249977,-73.575005,0.51596284,6.2109613,0.0
2024-01-01,4.5249977,-73.525,0.6841343,7.3567915,0.0
2024-01-01,4.5249977,-73.475006,0.7411376,6.391409,0.0
2024-01-01,4.5249977,-73.425,0.6843442,8.17524,0.0
2024-01-01,4.5249977,-73.37501,0.66180193,7.311967,0.0
2024-01-01,4.5249977,-73.325005,0.63610184,6.9459505,0.0
2024-01-01,4.5249977,-73.275,0.59913737,6.4471564,0.0
2024-01-01,4.5249977,-73.225006,0.6210018,7.7591186,0.0
2024-01-01,4.5249977,-73.175,0.57388663,7.2315555,0.0
2024-01-01,4.5249977,-73.12501,0.5056052,6.536958,0.0
2024-01-01,4.5249977,-73.075005,0.46564496,5.9614763,0.0
2024-01-01,4.5249977,-73.025,0.39666614,6.6630945,0.0
2024-01-01,4.5249977,-72.975006,0.4014874,6.7360964,0.0
2024-01-01,4.5249977,-72.925,0.37804112,6.6525164,0.0
2024-01-01,4.5249977,-72.87501,0.34021163,5.8415685,0.0
2024-01-01,4.5249977,-72.825005,0.31622297,5.3692155,0.0
2024-01-01,4.5249977,-72.775,0.30096158,5.142446,0.0
2024-01-01,4.5249977,-72.725006,0.29714572,5.013081,0.0
2024-01-01,4.5249977,-72.675,0.28136462,4.4556293,0.0
2024-01-01,4.5249977,-72.62501,0.27476045,4.3719444,0.0
2024-01-01,4.5249977,-72.575005,0.24564359,3.9362533,0.0
2024-01-01,4.5249977,-72.525,0.24779233,3.854022,0.0
2024-01-01,4.5249977,-72.475006,0.22968018,3.5768936,0.0
2024-01-01,4.5249977,-72.425,0.0,0.0,0.0
2024-01-01,4.5249977,-72.37501,0.21969879,4.861964,0.0
2024-01-01,4.5249977,-72.325005,0.21399122,4.66322,0.0
2024-01-01,4.5249977,-72.275,0.2054529,6.36904,0.0
2024-01-01,4.5249977,-72.225006,0.1676221,5.1962852,0.0
2024-01-01,4.5249977,-72.175,0.0,0.0,0.0
2024-01-01,4.5249977,-72.12501,0.0,0.0,0.0
2024-01-01,4.5249977,-72.075005,0.0,0.0,0.0
2024-01-01,4.5249977,-72.025,0.0,0.0,0.0
2024-01-01,4.5249977,-71.975006,0.0,0.0,0.0
2024-01-01,4.5249977,-71.925,0.0,0.0,0.0
2024-01-01,4.574997,-74.775,0.8023096,7.0332403,0.0
2024-01-01,4.574997,-74.725006,0.82422,7.1354218,0.0
2024-01-01,4.574997,-74.675,0.8293206,8.200833,0.0
2024-01-01,4.574997,-74.62501,0.74643373,7.714257,0.0
2024-01-01,4.574997,-74.575005,0.6722678,7.9331527,0.0
2024-01-01,4.574997,-74.525,0.6690062,7.744328,0.0
2024-01-01,4.574997,-74.475006,0.7738058,7.10409,0.0
2024-01-01,4.574997,-74.425,0.7603432,7.0802336,0.0
2024-01-01,4.574997,-74.37501,0.7402732,6.963939,0.0
2024-01-01,4.574997,-74.325005,0.65333086,7.813384,0.0
2024-01-01,4.574997,-74.275,0.67164844,8.088487,0.0
2024-01-01,4.574997,-74.225006,0.66740245,8.167148,0.0
2024-01-01,4.574997,-74.175,0.50908417,6.1593432,0.0
2024-01-01,4.574997,-74.12501,0.39519635,6.6729703,0.0
2024-01-01,4.574997,-74.075005,0.42805,5.1969223,0.0
2024-01-01,4.574997,-74.025,0.35633093,6.035607,0.0
2024-01-01,4.574997,-73.975006,0.4247855,5.3397636,0.0
2024-01-01,4.574997,-73.925,0.42382246,5.3420835,0.0
2024-01-01,4.574997,-73.87501,0.41263938,5.3063445,0.0
2024-01-01,4.574997,-73.825005,0.32619396,5.2469482,0.0
2024-01-01,4.574997,-73.775,0.2920534,4.6205597,0.0
2024-01-01,4.574997,-73.725006,0.35511982,5.711562,0.0
2024-01-01,4.574997,-73.675,0.43803054,5.675221,0.0
2024-01-01,4.574997,-73.62501,0.5362094,6.427076,0.0
2024-01-01,4.574997,-73.575005,0.5082529,5.4136877,0.0
2024-01-01,4.574997,-73.525,0.5129091,6.304848,0.0
