H,R^2,RMSE,MAE,Bias
1,0.5572714805603027,86.1835936614751,61.271453857421875,-27.084386825561523
2,0.5158494710922241,90.07920505640439,64.44766235351562,-35.579986572265625
3,0.5547497272491455,88.57221409321888,62.4260139465332,-30.435060501098633
4,0.5202968120574951,93.74851040483257,66.3328857421875,-44.60194396972656
5,0.48566627502441406,96.81011435892171,68.34783172607422,-42.9058837890625
6,0.42840486764907837,102.17113305473077,73.07386016845703,-50.629600524902344
7,0.48046499490737915,96.98883936277153,69.04151153564453,-42.49235916137695
8,0.47443491220474243,96.29093082619464,68.13153839111328,-41.73909378051758
9,0.5050817131996155,92.93852975219696,65.87294006347656,-45.01704406738281
10,0.48615825176239014,94.8462468781712,68.1056900024414,-40.04523849487305
11,0.5008955001831055,93.66579551789437,67.36309051513672,-39.38604736328125
12,0.4663906693458557,96.77266268005391,69.16323852539062,-42.25891876220703
