H,R^2,RMSE,MAE,Bias
1,0.46447646617889404,94.78620062079185,67.77841186523438,-38.775909423828125
2,0.45923739671707153,95.20015407517731,68.2581787109375,-35.06742858886719
3,0.45806169509887695,97.71705107253544,69.00025939941406,-36.66074752807617
4,0.42187052965164185,102.9178364263819,73.13595581054688,-43.79877471923828
5,0.36726754903793335,107.37625963318195,76.10598754882812,-48.64799118041992
6,0.34351426362991333,109.49558085403493,78.72817993164062,-45.88933563232422
7,0.38845396041870117,105.22742761959688,76.1433334350586,-42.30326461791992
8,0.32985031604766846,108.73216897640044,79.05818939208984,-50.9177131652832
9,0.35529470443725586,106.0741743722288,77.63285827636719,-49.828773498535156
10,0.37155967950820923,104.89081935219593,75.9960708618164,-51.99079513549805
11,0.4018633961677551,102.53814553161423,73.15528106689453,-49.76669692993164
12,0.4249313473701477,100.46177075292124,70.94415283203125,-45.12090301513672
