H,R^2,RMSE,MAE,Bias
1,0.6459043025970459,77.07546905265968,56.32209396362305,-1.215462565422058
2,0.6233819127082825,79.44835746512479,58.39381408691406,3.4281258583068848
3,0.6484371423721313,78.70401993485625,57.98896789550781,9.780187606811523
4,0.6620045900344849,78.69252925250433,58.17374038696289,-3.770332098007202
5,0.6829889416694641,76.00382263207226,57.26227569580078,2.6106314659118652
6,0.6350194215774536,81.6429739494618,60.11546325683594,-6.773016929626465
7,0.6392282247543335,80.82219404830117,59.036094665527344,-4.573495388031006
8,0.6142532825469971,82.49417001181052,62.50680160522461,10.378146171569824
9,0.6159260272979736,81.87220892189241,62.12899398803711,2.990973472595215
10,0.6173906326293945,81.84332044560814,61.31119155883789,-2.244654655456543
11,0.6345574855804443,80.14839142763566,58.818748474121094,-9.670469284057617
12,0.6040128469467163,83.3645778015534,61.98386764526367,-0.9127286672592163
