H,R^2,RMSE,MAE,Bias
1,0.679891049861908,73.2832555695706,53.784908294677734,-2.123338460922241
2,0.6767927408218384,73.59950548088791,53.41157531738281,-2.4220590591430664
3,0.6990885734558105,72.81398201281468,52.64530563354492,-5.25942325592041
4,0.6933630108833313,74.95323411759829,55.44350051879883,-1.1649420261383057
5,0.6978343725204468,74.20287988220201,54.6737060546875,-0.5533203482627869
6,0.6889828443527222,75.36611486292264,55.12609100341797,-0.6750217080116272
7,0.6576392650604248,78.73291915452995,58.07403564453125,3.213191509246826
8,0.6423345804214478,79.43476772936867,58.813018798828125,3.600836992263794
9,0.6526092290878296,77.864268045627,57.862876892089844,2.9894747734069824
10,0.6639338731765747,76.70396688018326,56.7833366394043,5.9062604904174805
11,0.6574969291687012,77.59210127124732,56.527381896972656,1.2325559854507446
12,0.6378147602081299,79.7271684353505,57.84706115722656,-4.792998790740967
