H,R^2,RMSE,MAE,Bias
1,0.4685685634613037,94.42336819314116,68.57821655273438,-45.48115539550781
2,0.4508032202720642,95.93968849295374,69.79691314697266,-49.93905258178711
3,0.4706604480743408,96.57452898377242,69.38353729248047,-46.788578033447266
4,0.46931636333465576,98.60432292754714,70.68026733398438,-45.75627136230469
5,0.483765184879303,96.98885950039572,69.25527954101562,-45.43962860107422
6,0.5103873014450073,94.56061527368306,66.88732147216797,-43.961769104003906
7,0.534276008605957,91.82875643180898,64.5978775024414,-40.154808044433594
8,0.4702446460723877,96.67402540237993,69.1113052368164,-49.25468063354492
9,0.42602217197418213,100.0867543605921,73.00016021728516,-56.33548355102539
10,0.44788801670074463,98.31483428570176,71.55492401123047,-51.59733963012695
11,0.40884941816329956,101.9375814300717,74.56233978271484,-57.15826416015625
12,0.4083704352378845,101.8980610401886,73.3646240234375,-53.54042053222656
