region,regime,lat,lon,n_cells,n_test_months,mean_mm,R2_climatology,R2_seasonal_naive,R2_persistence,R2_clim_train
Boyaca (Colombian Andes),bimodal tropical,"4.375,7.375","-74.925,-71.725",3965,110,187.74854011775184,0.7391471776601966,0.5286474089844851,0.2972198037154683,0.8010399407479027
Mantaro (Peruvian Andes),unimodal tropical,"-13.5,-10.5","-76.5,-73.5",3578,110,100.47509617427242,0.8346005830882441,0.7556842556603276,0.5172637757943845,0.8163566399656066
Ethiopian Highlands,monsoonal (Kiremt),"8.0,11.0","37.0,40.0",3600,110,97.14343259628147,0.8917872294043918,0.7785976921628369,0.2947306877500493,0.867913288410628
Nepal Himalaya,South Asian monsoon,"27.0,29.0","83.0,86.0",2400,110,124.9539835988308,0.8393012362629678,0.7145838044041506,0.33318842465165543,0.8732193309154298
Southeast Brazil,subtropical,"-22.0,-19.0","-47.0,-44.0",3600,110,114.45766751057782,0.713817437244141,0.5253663240547055,0.2985851160407851,0.7436308484755373
Central Sahel,"semi-arid, single wet season","12.0,15.0","-2.0,1.0",3600,110,51.800425248795214,0.89923091476766,0.8501338611109427,0.3513268226814935,0.897414761792085
Java (Indonesia),equatorial maritime,"-8.0,-6.0","106.0,109.0",1659,110,251.7201624739963,0.5476565275558658,0.1205755616233316,0.14255724679232873,0.5493613285509666
High Atlas (Morocco),Mediterranean winter,"30.5,33.0","-8.0,-5.0",3000,110,28.020846212873042,0.5931877875354344,0.2561146509345582,0.015761624909138128,0.5907591574589733
