H,R^2,RMSE,MAE,Bias
1,0.501961350440979,91.40866449802502,65.68427276611328,-32.4623908996582
2,0.5303727388381958,88.7178446369796,63.64588165283203,-30.324281692504883
3,0.5901722311973572,84.97596742057428,60.26375961303711,-22.163837432861328
4,0.5238078236579895,93.40480719862603,66.6726303100586,-37.976051330566406
5,0.5867369174957275,86.7783832124611,62.46809387207031,-23.21929168701172
6,0.49081188440322876,96.43242655157549,69.31326293945312,-31.82050132751465
7,0.5225436091423035,92.97821905559387,66.38233184814453,-31.984113693237305
8,0.5779019594192505,86.29364271739547,64.34648895263672,-11.72803783416748
9,0.5612240433692932,87.50854589963629,65.11066436767578,-13.498641967773438
10,0.5465846061706543,89.09504887688766,65.46525573730469,-18.475984573364258
11,0.5397515296936035,89.94591745269071,65.13126373291016,-28.036231994628906
12,0.5454789996147156,89.3136726873677,64.5716781616211,-18.294876098632812
