43 scored months
month,gauges,n_pairs,clim,ConvLSTM-Bidir,GNN-TAT-GAT,Late Fusion,ratio:ConvLSTM-Bidir,ratio:GNN-TAT-GAT,ratio:Late Fusion
2023-11,182,12,60.965304940709885,64.51319746865813,48.1926936024548,67.5169501339998,0.9450051668936129,1.2650321113739216,0.9029629570013609
2023-12,159,12,47.59228173583808,55.10277456678031,52.96644931958277,51.38140743519001,0.8637002784344353,0.8985363819402228,0.9262549258867353
2024-01,182,12,43.9498528314034,53.072052970781044,72.56011474808501,46.2449330797448,0.828116689881963,0.6057026368272566,0.9503712061949844
2024-02,166,12,45.02699069034557,49.88344842719808,51.81779888684546,47.88131849206815,0.902643905143402,0.8689483470471415,0.9403874435455362
2024-03,164,12,51.88977165440712,63.294674204666485,47.649366649196374,73.0120199169429,0.8198126036105179,1.0889918440349775,0.7107017681942774
2024-04,166,11,41.46745016194384,54.12830938783558,66.68371213861775,66.00900706747596,0.7660954245739466,0.6218527558235512,0.6282089672937337
2024-05,170,10,81.56669068308743,98.70554366235059,160.7457604208956,75.60942491880564,0.8263638257452761,0.5074266995876828,1.078789989087724
2024-07,191,8,43.707425671318894,61.75822883212717,94.09558459485328,59.10280754722134,0.7077182506338638,0.4645002829783104,0.739515219076488
2024-08,191,7,60.21925777151307,70.04708010593612,95.92296613187852,65.32465463595919,0.8596969021469577,0.6277876946457364,0.9218457886551802
2024-09,184,6,78.96545755193479,83.49886210027162,83.99935117887593,89.95244961994219,0.9457069900797835,0.940072232031632,0.8778577780324104
2024-10,171,5,48.04590113471329,56.01180659233863,94.9482639972265,57.46556787853555,0.8577816724319882,0.5060219019498529,0.8360815512389519
2024-11,183,4,58.82779120184971,70.15991235058824,113.21473444444331,64.30583591233106,0.8384815378315746,0.5196125000029714,0.9148126350779479
2024-12,176,3,49.08908773763271,49.01775192568504,59.57431425479684,47.81507600423319,1.001455305662647,0.8239975289968214,1.0266445615037134
2025-01,182,2,40.646908352300294,42.3577826038083,45.630664625935395,44.910663739591556,0.9596089751082912,0.8907805460540574,0.90506140341158
2025-02,126,1,95.55297683119308,111.72058637952637,92.42552673984574,102.30572986614304,0.8552853142624024,1.033837514393078,0.9339943809228939
