43 scored months
month,gauges,n_pairs,clim,ConvLSTM-Bidir,GNN-TAT-GAT,Late Fusion,ratio:ConvLSTM-Bidir,ratio:GNN-TAT-GAT,ratio:Late Fusion
2021-07,10,1,82.21134890999657,77.2399095304926,58.77469484622148,80.61255214776857,1.0643636095604354,1.3987541598488078,1.019833099432174
2021-08,0,2,49.07155457495488,76.41921769154078,80.27806914867135,59.48979516431745,0.64213631148421,0.6112697414791651,0.8248734835851053
2021-09,10,3,53.26063685684498,61.93624749776387,55.39784673151637,71.84082896493958,0.8599267635445283,0.9614207049413077,0.7413700207000358
2021-10,156,4,51.49864456570789,64.01421144357836,111.73279953174631,60.61844939813523,0.8044876817876356,0.46090892541429374,0.8495539736998305
2021-11,168,5,71.24605716326745,82.13984475789732,71.9660010870169,79.42713183301822,0.8673751134210357,0.9899960549026624,0.8969989916424269
2021-12,7,6,51.532000541107195,65.58546969812869,52.671927048116345,54.28231729181584,0.78572282516683,0.9783579874347902,0.949333099839433
2022-01,176,7,26.55493070562746,41.78949308214968,55.75840019697429,33.336218906080106,0.6354451501344092,0.4762498674965293,0.7965789635723857
2022-02,132,8,39.46580764501339,49.406629766174106,42.498841190625235,45.703941743452766,0.798795785743584,0.9286325588971377,0.8635099323936757
2022-03,184,9,76.1430355004573,85.33309809052263,93.69739742520014,81.08519365220701,0.892303657130597,0.8126483508919582,0.939049807626436
2022-04,134,10,57.773274771365145,78.65906479800805,128.25558078485327,63.31404711139611,0.734477010624568,0.4504542758905666,0.9124874716935658
2022-05,185,11,47.09411857318992,60.114172764673846,113.2243874582689,51.91391927536373,0.7834112391024172,0.41593617444428566,0.9071578341714397
2022-06,172,12,77.55045018812285,68.10787477295932,98.60110966354053,62.764539183770296,1.138641463217591,0.786506870488076,1.2355774645466673
2022-07,176,12,74.2870197664348,87.74387267177568,119.02572181343062,73.09871468576519,0.8466348418917061,0.6241257657137131,1.0162561692880356
2022-08,190,12,62.569055448378634,98.84891663379908,118.09874229472524,83.3805822888072,0.6329766433371775,0.5298028940243271,0.7504031961741019
2022-09,167,12,56.16176778153559,66.1330055413132,93.5196992501752,48.22327972586488,0.8492244881634997,0.6005340931571738,1.1646194141252664
2022-10,191,12,206.80045901367066,231.03211650137993,300.8765432094854,215.8443948234107,0.895115632169848,0.687326625092491,0.9580997420982871
2022-11,184,12,86.17551607795785,88.77590893057359,141.72365310748472,83.86370273217679,0.9707083500023711,0.6080531667681571,1.0275663161828659
2022-12,179,12,59.661853839818036,91.64098732132202,68.63664069949522,82.62005116318329,0.6510389683016496,0.8692420437799313,0.7221231771205224
2023-01,185,12,59.38031201778428,56.71434003466218,48.31729550812854,59.84400256660891,1.047007017651845,1.2289659715700474,0.9922516788828
2023-02,164,12,31.969107199519065,43.13757780211812,49.327430446032636,42.721581352091256,0.7410964831212505,0.6480999904200425,0.748312824285334
2023-03,184,12,60.72019025325477,64.33317416862467,71.30441596129293,61.47124195156677,0.9438394893138671,0.8515628300807663,0.9877820640275374
2023-04,182,12,36.22113237609246,54.39745897213722,85.42845240134238,55.33129821048917,0.6658607416689296,0.42399377909745795,0.6546228544702031
2023-05,190,12,52.6961777243991,64.2896539593015,93.1536171397578,64.0043706246827,0.8196680877728532,0.5656911598541509,0.823321551482881
2023-06,167,12,39.988559798787584,77.98311883987756,96.76505788827822,76.1415235462161,0.512784823096085,0.41325412986325155,0.5251872820027756
2023-07,176,12,60.4506916158146,91.96857144706435,130.13739775375325,84.63900955845006,0.6572972773705532,0.4645143721883832,0.714217852160339
2023-08,187,12,46.874443180722764,52.32265115195416,70.15394202028254,50.7177755937584,0.895872860964005,0.6681654919287453,0.9242211952704682
2023-09,156,12,98.81856585857393,91.59653381127602,58.075209502885045,117.61776276186454,1.0788461281971442,1.7015619350226339,0.8401670252702178
2023-10,146,12,47.6123599816001,47.117035261582856,86.6019735964438,52.97204810716599,1.0105126461643292,0.5497837751766346,0.8988204474419625
