region,regime,lat,lon,n_origins,n_cells,mean_mm,pooled_climatology,pooled_seasonal_naive,pooled_persistence,percell_climatology,percell_seasonal_naive,percell_persistence
Boyaca (Colombian Andes),bimodal tropical,"4.375,7.375","-74.925,-71.725",98,3965,186.77255064997186,0.7452246492011602,0.5309049870044253,-0.4660643355283052,0.6308419886903196,0.3019156901580096,-0.9767126051038714
Mantaro (Peruvian Andes),unimodal tropical,"-13.5,-10.5","-76.5,-73.5",98,3578,100.3072409570214,0.8445744079892232,0.7438129572778958,-0.35653424557696134,0.7577477447180458,0.638679155162178,-0.9758715503395018
Ethiopian Highlands,monsoonal (Kiremt),"8.0,11.0","37.0,40.0",98,3600,97.04585161929633,0.894906758034536,0.7839935001215496,-0.9162259560778672,0.8758148438240819,0.7440023266411185,-1.0011929880932908
Nepal Himalaya,South Asian monsoon,"27.0,29.0","83.0,86.0",98,2400,124.96031591595253,0.8373088639749948,0.7211927400704378,-0.9169315965393539,0.8097048150630153,0.6790804761396445,-1.0186256227868398
Southeast Brazil,subtropical,"-22.0,-19.0","-47.0,-44.0",98,3600,115.45183221718577,0.7023484547262633,0.5200313458091642,-0.9829141505782648,0.702418597791703,0.5243539307171178,-0.9975860303664786
Central Sahel,semi-arid,"12.0,15.0","-2.0,1.0",98,3600,51.87468871705052,0.9012139679144705,0.8591406916266017,-0.8918100145103354,0.8959806282707106,0.8549813762206797,-0.9509101676259719
Java (Indonesia),equatorial maritime,"-8.0,-6.0","106.0,109.0",98,1659,251.10563284681643,0.533539156090685,0.19632516790578758,-0.7095782811300209,0.4908498280722064,0.13120379978757657,-0.9127906581422837
High Atlas (Morocco),Mediterranean winter,"30.5,33.0","-8.0,-5.0",98,3000,27.676268780548668,0.5833568080049345,0.2487302625304889,-0.6594899027664733,0.4543576449340265,0.019091549973317395,-0.9066828629993267
